Departement;Ville;Population;Region;
92;La Garenne-Colombes;29503;11;
92;Gennevilliers;46939;11;
92;Issy-les-Moulineaux;69231;11;
92;Levallois-Perret;64028;11;
92;Malakoff;30286;11;
92;Meudon;46014;11;
92;Montrouge;49372;11;
92;Nanterre;96321;11;
92;Neuilly-sur-Seine;61501;11;
92;Le Plessis-Robinson;29192;11;
92;Puteaux;44941;11;
92;Rueil-Malmaison;79783;11;
92;Saint-Cloud;30797;11;
92;Suresnes;49145;11;
92;Vanves;28148;11;
93;Aubervilliers;86533;11;
93;Aulnay-sous-Bois;85214;11;
93;Bagnolet;36047;11;
93;Le Blanc-Mesnil;56346;11;
93;Bobigny;52633;11;
93;Bondy;53416;11;
93;Clichy-sous-Bois;29978;11;
93;La Courneuve;42712;11;
93;Drancy;70883;11;
93;Épinay-sur-Seine;55754;11;
93;Gagny;39391;11;
93;Livry-Gargan;44721;11;
93;Montfermeil;26262;11;
93;Montreuil;109235;11;
93;Neuilly-sur-Marne;34859;11;
93;Noisy-le-Grand;67086;11;
93;Noisy-le-Sec;43693;11;
93;Pantin;55585;11;
93;Pierrefitte-sur-Seine;29728;11;
93;Romainville;26640;11;
93;Rosny-sous-Bois;45663;11;
93;Saint-Denis;112309;11;
93;Saint-Ouen;49949;11;
93;Sevran;50888;11;
93;Stains;39776;11;
93;Tremblay-en-France;35866;11;
93;Villemomble;30227;11;
93;Villepinte;36809;11;
94;Alfortville;44136;11;
94;Cachan;30524;11;
94;Champigny-sur-Marne;77883;11;
94;Charenton-le-Pont;30793;11;
94;Choisy-le-Roi;44781;11;
94;Créteil;90052;11;
94;Fontenay-sous-Bois;53968;11;
94;Fresnes;27556;11;
94;L' Haÿ-les-Roses;31416;11;
94;Ivry-sur-Seine;61099;11;
94;Le Kremlin-Bicêtre;25422;11;
94;Limeil-Brévannes;26901;11;
94;Maisons-Alfort;55816;11;
94;Nogent-sur-Marne;32195;11;
94;Le Perreux-sur-Marne;34017;11;
94;Saint-Maur-des-Fossés;75833;11;
94;Sucy-en-Brie;26575;11;
94;Thiais;29295;11;
94;Villejuif;55805;11;
94;Villeneuve-Saint-Georges;33135;11;
94;Villiers-sur-Marne;29407;11;
94;Vincennes;50300;11;
94;Vitry-sur-Seine;93317;11;
95;Argenteuil;112064;11;
95;Bezons;29216;11;
95;Cergy;64451;11;
95;Eaubonne;25514;11;
95;Ermont;29400;11;
95;Franconville;36349;11;
95;Garges-lès-Gonesse;42821;11;
95;Gonesse;26556;11;
95;Goussainville;31167;11;
95;Herblay;29614;11;
95;Pontoise;31880;11;
95;Sannois;27118;11;
95;Sarcelles;58332;11;
95;Taverny;26541;11;
95;Villiers-le-Bel;27519;11;
971;Les Abymes;54818;01;
971;Baie-Mahault;31338;01;
